Date,Airport,Scheduled,Actual
3/18/20,DUB,248,202
3/18/20,FCO,277,44
3/18/20,FRA,603,273
3/18/20,GVA,249,88
3/18/20,HEL,256,102
3/18/20,KEF,46,24
3/18/20,LGW,409,199
3/18/20,LHR,598,349
3/18/20,LIS,262,123
3/18/20,MAD,550,173
3/18/20,MAN,207,122
3/18/20,MUC,456,184
3/18/20,MXP,215,12
3/18/20,ORY,305,106
3/18/20,OSL,356,147
3/18/20,PRG,141,37
3/18/20,SVO,455,351
3/18/20,VCE,92,2
3/18/20,VIE,312,85
3/18/20,VKO,184,133
3/18/20,WAW,242,6
3/18/20,ZRH,251,92
3/19/20,AMS,669,300
3/19/20,ARN,342,124
3/19/20,ATH,207,105
3/19/20,BCN,378,110
3/19/20,BRU,242,86
3/19/20,BUD,150,66
3/19/20,CDG,614,260
3/19/20,CPH,361,101
3/19/20,DME,244,187
3/19/20,DUB,278,205
3/19/20,FCO,285,48
3/19/20,FRA,607,211
3/19/20,GVA,256,89
3/19/20,HEL,259,86
3/19/20,KEF,55,27
3/19/20,LGW,421,197
3/19/20,LHR,605,340
3/19/20,LIS,286,104
3/19/20,MAD,585,130
3/19/20,MAN,223,119
3/19/20,MUC,472,150
3/19/20,MXP,217,13
3/19/20,ORY,306,93
3/19/20,OSL,372,133
3/19/20,PRG,160,32
3/19/20,SVO,469,345
3/19/20,VCE,98,4
3/19/20,VIE,337,43
3/19/20,VKO,180,122
3/19/20,WAW,245,18
3/19/20,ZRH,262,81
3/20/20,AMS,332,143
3/20/20,ARN,144,63
3/20/20,ATH,124,53
3/20/20,BCN,227,44
3/20/20,BRU,126,37
3/20/20,BUD,87,29
3/20/20,CDG,336,131
3/20/20,CPH,171,43
3/20/20,DME,133,89
3/20/20,DUB,155,100
3/20/20,FCO,128,25
3/20/20,FRA,335,127
3/20/20,GVA,143,47
3/20/20,HEL,119,34
3/20/20,KEF,28,11
3/20/20,LGW,210,79
3/20/20,LHR,254,127
3/20/20,LIS,139,52
3/20/20,MAD,280,51
3/20/20,MAN,126,55
3/20/20,MUC,231,69
3/20/20,MXP,99,3
3/20/20,ORY,164,38
3/20/20,OSL,166,58
3/20/20,PRG,79,5
3/20/20,SVO,244,168
3/20/20,VCE,42,2
3/20/20,VIE,182,19
3/20/20,VKO,89,51
3/20/20,WAW,126,15
3/20/20,ZRH,154,45
