storenumber,name,streetaddress,city,state,zipcode,latitude,longitude,distance,imageurlthumb,opened_date,opened_year
305,Cerritos,10900 Alondra Blvd.,Cerritos,CA,90703,33.88714,-118.1021,20.22,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/305.jpg,2015-10-23,2015
12,San Fernando,11455 Laurel Canyon Blvd.,San Fernando,CA,91340,34.27802,-118.45306,20.23,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/12.jpg,1973-06-02,1973
14,Norwalk,14330 Pioneer Blvd.,Norwalk,CA,90650,33.90119,-118.08224,21.0,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/14.jpg,1974-02-18,1974
178,Porter Ranch,19901 Rinaldi St.,Porter Ranch,CA,91326,34.2758,-118.56807,21.47,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/178.jpg,2003-10-30,2003
60,Long Beach (Los Coyotes Diagonal),4600 Los Coyotes Dgl.,Long Beach,CA,90815,33.79119,-118.14011,21.58,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/60.jpg,1990-06-06,1990
20,Rosemead,4242 N. Rosemead Blvd.,Rosemead,CA,91770,34.08397,-118.07301,21.75,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/20.jpg,1978-12-21,1978
5,Pasadena,2114 E. Foothill Blvd.,Pasadena,CA,91107,34.14948,-118.1068,21.88,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/5.jpg,1952-09-18,1952
372,Whittier ,11802 Whittier Blvd.,Whittier ,CA,90601,33.98,-118.0505,21.98,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/372.jpg,2021-12-03,2021
47,Santa Fe Springs,10525 Carmenita,Santa Fe Springs,CA,90670,33.93957,-118.04684,22.42,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/47.jpg,1987-10-21,1987
135,Long Beach (Carson St.),7691 Carson St.,Long Beach,CA,90808,33.83109,-118.08485,22.71,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/135.jpg,1999-04-21,1999
297,Westlake Village,30780 Russell Ranch Rd.,Westlake Village,CA,91361,34.14764,-118.79711,23.64,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/297.jpg,2014-11-05,2014
13,Temple City,10601 Lower Azusa Rd.,Temple City,CA,91780,34.09244,-118.03846,23.82,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/13.jpg,1973-08-27,1973
114,Long Beach,6391 E. Pacific Coast Hwy.,Long Beach,CA,90803,33.75847,-118.11117,24.3,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/114.jpg,1996-04-25,1996
105,La Mirada,14341 Firestone Blvd.,La Mirada,CA,90638,33.88254,-118.02468,24.54,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/105.jpg,1995-05-31,1995
271,Seal Beach,12365 Seal Beach Blvd.,Seal Beach,CA,90740,33.78222,-118.07251,25.07,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/271.jpg,2012-03-15,2012
42,Buena Park,7926 Valley View St.,Buena Park,CA,90620,33.84731,-118.0281,25.18,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/42.jpg,1986-09-25,1986
78,Simi Valley,2600 Stearns St.,Simi Valley,CA,93063,34.28305,-118.69094,25.28,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/78.jpg,1992-10-22,1992
27,Arcadia,420 N. Santa Anita,Arcadia,CA,91006,34.14532,-118.03124,25.56,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/27.jpg,1982-06-08,1982
11,Hacienda Heights,14620 E. Gale,Hacienda Heights,CA,91745,34.0194,-117.9873,25.7,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/11.jpg,1972-07-24,1972
1,Baldwin Park,13850 Francisquito Ave.,Baldwin Park,CA,91706,34.06767,-117.97349,26.98,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/1.jpg,1948-10-22,1948
330,La Habra,1761 W. Whittier Blvd.,La Habra,CA,90631,33.93986,-117.96633,27.0,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/330.jpg,2018-05-03,2018
7,La Puente,15259 E. Amar Rd.,La Puente,CA,91744,34.03759,-117.95173,27.86,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/7.jpg,1968-05-01,1968
53,Newhall,25220 N. The Old Road,Newhall,CA,91381,34.37714,-118.56538,28.08,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/53.jpg,1988-12-28,1988
37,Westminster,6292 Westminster Blvd.,Westminster,CA,92683,33.75871,-118.01959,28.51,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/37.jpg,1985-06-29,1985
4,West Covina (San Bernardino Rd.),15610 San Bernardino Rd.,West Covina,CA,91722,34.08978,-117.94092,29.14,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/temp-closed.png,1951-03-01,1951
345,Stanton,12975 Beach Blvd.,Stanton ,CA,90680,33.77485,-117.99318,29.21,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/345.jpg,2019-09-26,2019
24,Anaheim,600 S. Brookhurst St.,Anaheim,CA,92804,33.82483,-117.9585,29.47,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/24.jpg,1980-12-03,1980
36,La Habra,2030 E. Lambert Rd.,La Habra,CA,90631,33.9244,-117.92377,29.56,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/36.jpg,1985-05-14,1985
66,City Of Industry,17849 E. Colima Road,City Of Industry,CA,91748,33.99033,-117.91538,29.73,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/66.jpg,1991-06-18,1991
107,Santa Clarita (Sand Canyon),28368 Sand Canyon Rd.,Santa Clarita,CA,91351,34.42368,-118.42316,30.28,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/107.jpg,1995-10-19,1995
77,Fullerton,1180 S. Harbor Blvd.,Fullerton,CA,92832,33.86023,-117.92398,30.52,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/77.jpg,1992-09-16,1992
19,Garden Grove,9032 Trask Ave.,Garden Grove,CA,92844,33.76643,-117.97211,30.55,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/19.jpg,1978-06-25,1978
58,Newbury Park,1550 Newbury Rd.,Newbury Park,CA,91320,34.18371,-118.91459,30.76,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/58.jpg,1990-02-28,1990
171,Santa Clarita (Bouquet Canyon),26401 Bouquet Canyon Rd.,Santa Clarita,CA,91350,34.42546,-118.53924,30.99,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/171.jpg,2003-02-20,2003
6,Azusa,324 S. Azusa Ave.,Azusa,CA,91702,34.11765,-117.90734,31.51,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/6.jpg,1966-08-01,1966
370,Brea,1130 E. Imperial Hwy.,Brea,CA,92821,33.91187,-117.88934,31.65,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/370.jpg,2021-10-14,2021
179,Moorpark,856 New Los Angeles Ave.,Moorpark,CA,93021,34.28022,-118.86544,32.02,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/179.jpg,2003-11-20,2003
64,West Covina (Garvey Ave.),2940 E. Garvey Ave.,West Covina,CA,91791,34.0714,-117.88194,32.17,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/64.jpg,1990-12-22,1990
180,Huntington Beach,18062 Beach Blvd.,Huntington Beach,CA,92648,33.70038,-117.98861,32.31,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/180.jpg,2004-01-27,2004
32,Placentia,825 W. Chapman,Placentia,CA,92870,33.874340000000004,-117.87841,32.79,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/32.jpg,1984-05-25,1984
343,Azusa,988 E. Alosta Ave.,Azusa,CA,91702,34.12834,-117.8862,32.88,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/343.jpg,2019-05-27,2019
2,Covina,1371 Grand Ave.,Covina,CA,91724,34.10491,-117.87307,33.16,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/2.jpg,1959-10-05,1959
300,Anaheim,1168 State College Blvd.,Anaheim,CA,92806,33.81889,-117.88902,33.34,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/300.jpg,2015-01-07,2015
15,Diamond Bar,21133 Golden Springs,Diamond Bar,CA,91765,34.0005,-117.84346,33.86,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/15.jpg,1974-06-30,1974
199,City Of Industry (Grand & Valley),21620 E. Valley Blvd,City Of Industry,CA,91789,34.02749,-117.83467,34.46,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/199.jpg,2005-12-20,2005
17,Santa Ana (Bristol & Civic Center),815 N. Bristol,Santa Ana,CA,92703,33.7523,-117.88474,35.43,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/17.jpg,1975-09-28,1975
172,Glendora,1261 S. Lone Hill,Glendora,CA,91740,34.11673,-117.82941,35.79,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/172.jpg,2003-03-27,2003
182,Orange (Tustin & Lincoln),2585 N. Tustin St.,Orange,CA,92865,33.83196,-117.83569,35.94,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/182.jpg,2004-04-21,2004
251,Costa Mesa,3211 Harbor Blvd.,Costa Mesa,CA,92626,33.68773,-117.9199,36.01,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/251.jpg,2010-12-17,2010
373,Yorba Linda,18181 Imperial Hwy.,Yorba Linda,CA,92886,33.89101,-117.81513,36.1,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/373.jpg,2021-12-14,2021
133,Santa Ana (Macarthur),3361 S. Bristol,Santa Ana,CA,92704,33.70036,-117.8851,37.19,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/133.jpg,1998-11-11,1998
38,Costa Mesa,594 W. 19th Street,Costa Mesa,CA,92627,33.64369,-117.92289,37.71,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/38.jpg,1985-09-23,1985
138,Anaheim Hills,5646 E. La Palma,Anaheim Hills,CA,92807,33.85933,-117.79148,37.88,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/138.jpg,1999-08-12,1999
59,Orange (Chapman & Prospect),3501 E. Chapman Ave.,Orange,CA,92869,33.78813,-117.81646,37.99,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/59.jpg,1990-03-09,1990
41,Camarillo,1316 Ventura Blvd.,Camarillo,CA,93010,34.21722,-119.05295,38.91,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/41.jpg,1986-08-27,1986
3,La Verne,2098 Foothill Blvd.,La Verne,CA,91750,34.11313,-117.76564,39.28,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/3.jpg,1962-07-03,1962
33,Pomona (Garey Ave.),2505 Garey Ave.,Pomona,CA,91766,34.02579,-117.74946,39.33,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/33.jpg,1984-08-16,1984
216,Tustin (District),2895 Park Ave.,Tustin,CA,92782,33.69499,-117.82708,40.24,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/216.jpg,2008-04-29,2008
167,Chino,3927 Grand Ave.,Chino,CA,91710,33.9974,-117.71853,41.02,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/167.jpg,2002-09-05,2002
63,Tustin,3020 El Camino Real,Tustin,CA,92782,33.72286,-117.79367,41.02,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/63.jpg,1990-10-10,1990
67,Irvine,4115 Campus Drive,Irvine,CA,92612,33.65015,-117.84063,41.24,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/67.jpg,1991-07-25,1991
8,Pomona (Indian Hill Blvd.),1851 Indian Hill,Pomona,CA,91767,34.07792,-117.71965,41.42,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/8.jpg,1970-04-01,1970
45,Upland,1837 Foothill Blvd.,Upland,CA,91786,34.10724,-117.68629,43.65,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/45.jpg,1987-04-06,1987
21,Ontario (Mountain Ave.),2235 Mountain Ave.,Ontario,CA,91761,34.0327,-117.66782,44.03,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/21.jpg,1979-10-04,1979
79,Palmdale,142 E Palmdale Blvd.,Palmdale,CA,93550,34.57934,-118.12803,44.6,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/79.jpg,1992-10-30,1992
163,Oxnard,381 W. Esplanade,Oxnard,CA,93036,34.23508,-119.17967,46.06,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/163.jpg,2002-05-02,2002
336,Upland ,1152 East 20th Street ,Upland ,CA,91784,34.13607,-117.63897,46.71,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/336.jpg,2018-10-31,2018
34,Ontario (Vineyard & G St.),1891 E. G Street,Ontario,CA,91764,34.06922,-117.61145,47.48,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/34.jpg,1984-10-19,1984
25,Corona (Auto Center Dr.),450 Auto Center Dr.,Corona,CA,92882,33.88166,-117.61349,47.62,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/25.jpg,NaT,nan
23,Rancho Cucamonga (Foothill & Vineyard),8955 Foothill Blvd.,Rancho Cucamonga,CA,91730,34.10625,-117.60964,47.95,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/23.jpg,1980-09-15,1980
97,Foothill Ranch,26482 Towne Centre,Foothill Ranch,CA,92610,33.68158,-117.66941,48.7,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/97.jpg,1994-07-06,1994
170,Laguna Hills (El Toro),24001 Avenida de la Carlota,Laguna Hills,CA,92653,33.61331,-117.70842,49.01,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/170.jpg,2003-01-30,2003
340,Eastvale,4950 Hamner Avenue ,Eastvale,CA,91752,33.99813,-117.55833,50.21,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/340.jpg,2019-02-08,2019
48,Norco,1810 Hamner Avenue,Norco,CA,92860,33.90852,-117.56168,50.32,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/48.jpg,1988-03-05,1988
144,Ontario (Ontario Mills),4310 E. Ontario Mills Pkwy.,Ontario,CA,91764,34.06834,-117.55714,50.57,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/144.jpg,2000-07-18,2000
94,Laguna Niguel (La Paz),27380 La Paz Rd.,Laguna Niguel,CA,92677,33.56497,-117.70737,50.91,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/94.jpg,1994-01-03,1994
76,Ventura,2070 Harbor Blvd.,Ventura,CA,93001,34.26841,-119.27283,51.87,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/76.jpg,1992-09-08,1992
43,Lancaster,"""2021 W. Avenue """"I""""""",Lancaster,CA,93536,34.70441,-118.16698,51.97,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/43.jpg,1986-11-26,1986
175,Corona (Ontario Ave. & I-15),2305 Compton Ave.,Corona,CA,92881,33.844030000000004,-117.53647,52.43,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/175.jpg,2003-06-19,2003
84,Rancho Cucamonga (Foothill & I-15),12599 Foothill Blvd.,Rancho Cucamonga,CA,91739,34.10585,-117.53026,52.43,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/84.jpg,1993-04-14,1993
281,Rancho Santa Margarita,30121 Santa Margarita Pkwy.,Rancho Santa Margarita,CA,92688,33.64253,-117.60524,53.21,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/281.jpg,2013-02-13,2013
28,Laguna Niguel (Avery Pkwy.),28782 Camino Capistrano,San Juan Capistrano,CA,92675,33.5453,-117.67383,53.27,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/28.jpg,1982-08-24,1982
39,Pedley,6634 Clay St.,Riverside,CA,92509,33.96709,-117.46584,55.53,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/39.jpg,1985-11-29,1985
335,Rancho Mission Viejo ,30655 Gateway Pl.,Rancho Mission Viejo ,CA,92694,33.52053,-117.61931,56.83,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/335.jpg,2018-10-24,2018
365,Riverside,3483 Van Buren Boulevard,Riverside,CA,92503,33.91562,-117.44211,57.1,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/365.jpg,2021-07-02,2021
22,Fontana,9855 Sierra Ave.,Fontana,CA,92335,34.07498,-117.43523,57.56,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/22.jpg,1979-12-27,1979
46,Riverside,7467 Indiana Ave.,Riverside,CA,92504,33.93579,-117.40385,59.18,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/46.jpg,1985-11-29,1985
286,Rialto,108 E. Easton St.,Rialto,CA,92376,34.1344,-117.37003,61.81,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/286.jpg,2013-08-29,2013
26,San Bernardino (5th Street),795 W. 5th Street,San Bernardino,CA,92410,34.10794,-117.30054,65.49,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/26.jpg,1982-02-11,1982
353,Riverside,22410 Van Buren Blvd.,Riverside,CA,92518,33.88854,-117.27293,66.95,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/353.jpg,2020-03-26,2020
44,Moreno Valley,23035 Hemlock,Moreno Valley,CA,92557,33.94211,-117.26014,67.39,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/44.jpg,1987-01-07,1987
31,San Bernardino (Tippecanoe),1065 Harriman Pl.,San Bernardino,CA,92408,34.06638,-117.26181,67.41,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/31.jpg,1984-02-28,1984
29,Hesperia (Main St.),13074 Main St.,Hesperia,CA,92345,34.42713,-117.37809,67.65,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/29.jpg,1983-06-24,1983
54,Lake Elsinore,331 Railroad Canyon,Lake Elsinore,CA,92532,33.66356,-117.29851,68.93,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/54.jpg,1989-05-18,1989
272,Highland,28009 Greenspot Rd.,Highland,CA,92346,34.10791,-117.19374,71.56,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/272.jpg,2012-03-29,2012
72,Hesperia (Bear Valley Rd.),17069 Bear Valley Rd.,Hesperia,CA,92345,34.4705,-117.29092,73.44,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/72.jpg,1992-03-10,1992
233,Victorville,15290 Civic Drive,Victorville,CA,92394,34.52112,-117.32202,73.55,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/233.jpg,2009-09-24,2009
209,Lebec (Tejon Ranch),5926 Dennis Mccarthy,Lebec,CA,93243,34.98345,-118.94828,74.97,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/209.jpg,2007-08-30,2007
224,Menifee,30296 Haun Road,Menifee,CA,92584,33.68112,-117.17501,75.33,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/224.jpg,2008-10-28,2008
318,Yucaipa,31465 Avenue E,Yucaipa,CA,92399,34.02775,-117.11733,75.53,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/318.jpg,2016-11-17,2016
212,Murrieta,39697 Avenida Acacias,Murrieta,CA,92563,33.57324,-117.17903,77.57,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/212.jpg,2007-12-20,2007
